row,col,expected,actual,numeric_diff
54,28,0,,
54,29,0,10.78,-10.78
54,30,0,34.91,-34.91
54,31,0,,
54,32,0,,
54,33,0,,
55,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
55,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
55,5,1/27/2026,"January 27, 2026",
55,6,"1,031.33",1031.33,
55,7,1200016.01,1147304.01,52712.0
55,8,4703305872,4701705976,1599896.0
55,12,GOODWIN 2V NORTH,SMITH J W 32309,
55,14,HARRISON,DODDRIDGE,
55,16,Gas,,
55,18,Royalty Interest,ROYALTY INTEREST,
55,19,0.00053796,0.010176,-0.009638039999999999
55,20,0.00053796,0.010176,-0.009638039999999999
55,21,3/31/2025,Nov 25,
55,22,3.41,3.24,0.16999999999999993
55,23,1.03,1.2304,-0.2003999999999999
55,24,89.74,393.42,-303.68
55,25,305.9,1274.38,-968.4800000000001
55,26,0,,
55,27,0,,
55,28,305.9,,
55,29,0.05,4.0,-3.95
55,30,0.16,12.97,-12.81
55,31,0,,
55,32,0,,
55,33,0.16,,
56,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
56,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
56,5,1/27/2026,"January 27, 2026",
56,6,"1,031.33",1031.33,
56,7,1200016.01,1199891.01,125.0
56,8,4703305872,4701703223,1602649.0
56,12,GOODWIN 2V NORTH,"SMITH, H L 1874, LATITUDE: 39.44038436 LONGITUDE: -80.58571830",
56,14,HARRISON,DODDRIDGE,
56,16,Gas,,
56,18,Royalty Interest,ROYALTY INTEREST,
56,19,0.00053796,0.125,-0.12446204
56,20,0.00053796,0.125,-0.12446204
56,21,12/31/2024,Nov 25,
56,22,3.11,3.19,-0.08000000000000007
56,23,1.06,1.2116,-0.15159999999999996
56,24,165,123.99,41.010000000000005
56,25,512.41,395.23,117.17999999999995
56,26,0,,
56,27,0,,
56,28,512.41,,
56,29,0.09,15.5,-15.41
56,30,0.28,49.4,-49.12
56,31,0,,
56,32,0,,
56,33,0.28,,
57,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
57,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
57,5,1/27/2026,"January 27, 2026",
57,6,"1,031.33",1031.33,
57,16,Gas,,
57,18,Royalty Interest,,
57,19,0.00053796,,
57,20,0.00053796,,
57,21,2/28/2025,,
57,22,3.46,,
57,23,1.07,,
57,24,133.16,,
57,25,461.2,,
57,26,0,,
57,27,0,,
57,28,461.2,,
57,29,0.07,,
57,30,0.25,,
57,31,0,,
57,32,0,,
57,33,0.25,,
58,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
58,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
58,5,1/27/2026,"January 27, 2026",
58,6,"1,031.33",1031.33,
58,16,Gas,,
58,18,Royalty Interest,ROYALTY INTEREST,
58,20,0.00053796,0.0,0.00053796
58,21,8/31/2025,Nov 25,
58,22,2.34,0.0,2.34
58,23,1.09,1.0,0.09000000000000008
58,24,-137.98,0.0,-137.98
58,25,-322.91,0.00053796,-322.91053796
58,26,0,,
58,27,0,,
58,28,-322.91,,
58,29,-0.07,0.0,-0.07
58,30,-0.17,,
58,31,0,,
58,32,0,,
58,33,-0.17,,
59,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
59,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
59,5,1/27/2026,"January 27, 2026",
59,6,"1,031.33",1031.33,
59,16,Gas,,
59,18,Royalty Interest,ROYALTY INTEREST,
59,21,8/31/2025,Mar 25,
59,22,2.34,3.41,-1.0700000000000003
59,23,1.09,1.0328,0.05720000000000014
59,24,147.63,89.74,57.89
59,25,345.92,305.9,40.02000000000004
59,26,0,,
59,27,0,,
59,28,345.92,,
59,29,0.08,0.05,0.03
59,30,0.19,0.16,0.03
59,31,0,,
59,32,0,,
59,33,0.19,,
60,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
60,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
60,5,1/27/2026,"January 27, 2026",
60,6,"1,031.33",1031.33,
60,16,Gas,,
60,18,Royalty Interest,ROYALTY INTEREST,
60,21,1/31/2025,Dec 24,
60,22,3.4,3.11,0.29000000000000004
60,23,1.13,1.0588,0.07119999999999993
60,24,66.58,165.0,-98.42
60,25,226.25,512.41,-286.15999999999997
60,26,0,,
60,27,0,,
60,28,226.25,,
60,29,0.04,0.09,-0.049999999999999996
60,30,0.12,0.28,-0.16000000000000003
60,31,0,,
60,32,0,,
60,33,0.12,,
61,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
61,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
61,5,1/27/2026,"January 27, 2026",
61,6,"1,031.33",1031.33,
61,16,Gas,,
61,18,Royalty Interest,ROYALTY INTEREST,
61,21,11/30/2024,Feb 25,
