Operator ID,Operator Name,Owner Name,Owner Number,Check Number,Check Date,Check Amount,Operator CC,Operator API,Partner API,MA API,Partner CC,Property Description,Property State,Property County,Product Code,Product Description,Interest Code,Interest Type,Owner Percent,Distribution Percent,Prod Date,Price,BTU Factor,Gross Volume,Gross Value,Gross Taxes,Gross Deducts,Net Value,Owner Gross Volume,Owner Gross Value,Owner Gross Taxes,Owner Gross Deducts,Owner Net Value
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147303.01,4701705974,,,,SMITH J W 34993,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,10.78,Nov 25,3431.09,1059.22,3.24,0.010176,,,,34.91,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147304.01,4701705976,,,,SMITH J W 32309,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,4.0,Nov 25,1274.38,393.42,3.24,0.010176,,,,12.97,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1199891.01,4701703223,,,,"SMITH, H L 1874, LATITUDE: 39.44038436 LONGITUDE: -80.58571830",WV,DODDRIDGE,,,1.2116,ROYALTY INTEREST,0.125,15.5,Nov 25,395.23,123.99,3.19,0.125,,,,49.4,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,,,,,,,,,,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.0,ROYALTY INTEREST,0.0,0.0,Nov 25,0.00053796,0.0,0.0,0.00053796,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.0328,ROYALTY INTEREST,0.00053796,0.05,Mar 25,305.9,89.74,3.41,0.00053796,,,,0.16,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.0588,ROYALTY INTEREST,0.00053796,0.09,Dec 24,512.41,165.0,3.11,0.00053796,,,,0.28,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.0653,ROYALTY INTEREST,0.00053796,0.07,Feb 25,461.2,133.16,3.46,0.00053796,,,,0.25,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.0871,ROYALTY INTEREST,0.00053796,-0.07,Aug 25,-322.91,-137.98,2.34,0.00053796,,,,-0.17,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.0885,ROYALTY INTEREST,0.00053796,0.08,Aug 25,345.92,147.63,2.34,0.00053796,,,,0.19,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.1277,ROYALTY INTEREST,0.00053796,0.04,Jan 25,226.25,66.58,3.4,0.00053796,,,,0.12,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.1713,ROYALTY INTEREST,0.00053796,0.09,Nov 24,321.88,172.72,1.86,0.00053796,,,,0.17,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.1767,ROYALTY INTEREST,0.00053796,0.08,Jul 25,336.62,139.91,2.41,0.00053796,,,,0.18,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.2039,ROYALTY INTEREST,0.00053796,0.04,Apr 25,244.0,71.4,3.42,0.00053796,,,,0.13,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.2106,ROYALTY INTEREST,0.00053796,0.03,Jun 25,143.19,59.82,2.39,0.00053796,,,,0.08,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.2692,ROYALTY INTEREST,0.00053796,0.06,Nov 25,348.16,104.21,3.34,0.00053796,,,,0.19,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1200016.01,4703305872,,,,GOODWIN 2V NORTH,WV,HARRISON,,,1.3934,ROYALTY INTEREST,0.00053796,0.04,May 25,231.73,72.37,3.2,0.00053796,,,,0.12,,,,
